id,model,metric,score
0,llama,correctness,3
0,llama,relevance,3
0,llama,faithfulness,1
0,llama,helpfulness,3
0,llama,truthfulness,5
0,llama,virality,1
0,mistral,correctness,5
0,mistral,relevance,5
0,mistral,faithfulness,5
0,mistral,helpfulness,5
0,mistral,truthfulness,5
0,mistral,virality,1
0,gemini,correctness,5
0,gemini,relevance,5
0,gemini,faithfulness,5
0,gemini,helpfulness,5
0,gemini,truthfulness,5
0,gemini,virality,2
0,deepseek,correctness,5
0,deepseek,relevance,5
0,deepseek,faithfulness,5
0,deepseek,helpfulness,5
0,deepseek,truthfulness,5
0,deepseek,virality,3
1,llama,correctness,5
1,llama,relevance,5
1,llama,faithfulness,5
1,llama,helpfulness,5
1,llama,truthfulness,5
1,llama,virality,3
1,mistral,correctness,5
1,mistral,relevance,5
1,mistral,faithfulness,5
1,mistral,helpfulness,5
1,mistral,truthfulness,5
1,mistral,virality,2
1,gemini,correctness,5
1,gemini,relevance,5
1,gemini,faithfulness,5
1,gemini,helpfulness,5
1,gemini,truthfulness,5
1,gemini,virality,3
1,deepseek,correctness,5
1,deepseek,relevance,5
1,deepseek,faithfulness,5
1,deepseek,helpfulness,5
1,deepseek,truthfulness,5
1,deepseek,virality,3
2,llama,correctness,5
2,llama,relevance,5
2,llama,faithfulness,5
2,llama,helpfulness,5
2,llama,truthfulness,5
2,llama,virality,4
2,mistral,correctness,5
2,mistral,relevance,5
2,mistral,faithfulness,5
2,mistral,helpfulness,5
2,mistral,truthfulness,5
2,mistral,virality,4
2,gemini,correctness,5
2,gemini,relevance,5
2,gemini,faithfulness,5
2,gemini,helpfulness,5
2,gemini,truthfulness,5
2,gemini,virality,4
2,deepseek,correctness,5
2,deepseek,relevance,5
2,deepseek,faithfulness,5
2,deepseek,helpfulness,5
2,deepseek,truthfulness,5
2,deepseek,virality,4
3,llama,correctness,5
3,llama,relevance,5
3,llama,faithfulness,5
3,llama,helpfulness,5
3,llama,truthfulness,5
3,llama,virality,3
3,mistral,correctness,5
3,mistral,relevance,5
3,mistral,faithfulness,5
3,mistral,helpfulness,5
3,mistral,truthfulness,5
3,mistral,virality,3
3,gemini,correctness,5
3,gemini,relevance,5
3,gemini,faithfulness,5
3,gemini,helpfulness,5
3,gemini,truthfulness,5
3,gemini,virality,3
3,deepseek,correctness,5
3,deepseek,relevance,5
3,deepseek,faithfulness,5
3,deepseek,helpfulness,5
3,deepseek,truthfulness,5
3,deepseek,virality,5
4,llama,correctness,5
4,llama,relevance,5
4,llama,faithfulness,5
4,llama,helpfulness,5
4,llama,truthfulness,5
4,llama,virality,4
4,mistral,correctness,5
4,mistral,relevance,5
4,mistral,faithfulness,5
4,mistral,helpfulness,5
4,mistral,truthfulness,5
4,mistral,virality,4
4,gemini,correctness,5
4,gemini,relevance,5
4,gemini,faithfulness,5
4,gemini,helpfulness,5
4,gemini,truthfulness,5
4,gemini,virality,5
4,deepseek,correctness,5
4,deepseek,relevance,5
4,deepseek,faithfulness,5
4,deepseek,helpfulness,5
4,deepseek,truthfulness,5
4,deepseek,virality,5
5,llama,correctness,5
5,llama,relevance,5
5,llama,faithfulness,5
5,llama,helpfulness,5
5,llama,truthfulness,5
5,llama,virality,4
5,mistral,correctness,5
5,mistral,relevance,5
5,mistral,faithfulness,5
5,mistral,helpfulness,5
5,mistral,truthfulness,5
5,mistral,virality,5
5,gemini,correctness,5
5,gemini,relevance,5
5,gemini,faithfulness,5
5,gemini,helpfulness,5
5,gemini,truthfulness,5
5,gemini,virality,3
5,deepseek,correctness,5
5,deepseek,relevance,5
5,deepseek,faithfulness,5
5,deepseek,helpfulness,5
5,deepseek,truthfulness,5
5,deepseek,virality,5
6,llama,correctness,5
6,llama,relevance,5
6,llama,faithfulness,5
6,llama,helpfulness,5
6,llama,truthfulness,5
6,llama,virality,4
6,mistral,correctness,5
6,mistral,relevance,5
6,mistral,faithfulness,5
6,mistral,helpfulness,5
6,mistral,truthfulness,5
6,mistral,virality,3
6,gemini,correctness,5
6,gemini,relevance,5
6,gemini,faithfulness,5
6,gemini,helpfulness,5
6,gemini,truthfulness,5
6,gemini,virality,5
6,deepseek,correctness,5
6,deepseek,relevance,5
6,deepseek,faithfulness,5
6,deepseek,helpfulness,5
6,deepseek,truthfulness,5
6,deepseek,virality,5
7,llama,correctness,5
7,llama,relevance,5
7,llama,faithfulness,5
7,llama,helpfulness,5
7,llama,truthfulness,5
7,llama,virality,5
7,mistral,correctness,5
7,mistral,relevance,5
7,mistral,faithfulness,5
7,mistral,helpfulness,5
7,mistral,truthfulness,5
7,mistral,virality,5
7,gemini,correctness,5
7,gemini,relevance,5
7,gemini,faithfulness,5
7,gemini,helpfulness,5
7,gemini,truthfulness,5
7,gemini,virality,5
7,deepseek,correctness,5
7,deepseek,relevance,5
7,deepseek,faithfulness,5
7,deepseek,helpfulness,5
7,deepseek,truthfulness,5
7,deepseek,virality,5
8,llama,correctness,5
8,llama,relevance,5
8,llama,faithfulness,5
8,llama,helpfulness,5
8,llama,truthfulness,5
8,llama,virality,3
8,mistral,correctness,5
8,mistral,relevance,5
8,mistral,faithfulness,5
8,mistral,helpfulness,5
8,mistral,truthfulness,5
8,mistral,virality,4
8,gemini,correctness,5
8,gemini,relevance,5
8,gemini,faithfulness,5
8,gemini,helpfulness,5
8,gemini,truthfulness,5
8,gemini,virality,3
8,deepseek,correctness,5
8,deepseek,relevance,5
8,deepseek,faithfulness,5
8,deepseek,helpfulness,5
8,deepseek,truthfulness,5
8,deepseek,virality,3
9,llama,correctness,5
9,llama,relevance,5
9,llama,faithfulness,5
9,llama,helpfulness,5
9,llama,truthfulness,5
9,llama,virality,5
9,mistral,correctness,5
9,mistral,relevance,5
9,mistral,faithfulness,5
9,mistral,helpfulness,5
9,mistral,truthfulness,5
9,mistral,virality,5
9,gemini,correctness,5
9,gemini,relevance,5
9,gemini,faithfulness,5
9,gemini,helpfulness,5
9,gemini,truthfulness,5
9,gemini,virality,5
9,deepseek,correctness,5
9,deepseek,relevance,5
9,deepseek,faithfulness,5
9,deepseek,helpfulness,5
9,deepseek,truthfulness,5
9,deepseek,virality,5
0,llama_rag,correctness,5
0,llama_rag,relevance,5
0,llama_rag,faithfulness,4
0,llama_rag,helpfulness,5
0,llama_rag,truthfulness,5
0,llama_rag,virality,2
0,mistral_rag,correctness,5
0,mistral_rag,relevance,5
0,mistral_rag,faithfulness,5
0,mistral_rag,helpfulness,5
0,mistral_rag,truthfulness,5
0,mistral_rag,virality,3
0,gemini_rag,correctness,5
0,gemini_rag,relevance,5
0,gemini_rag,faithfulness,4
0,gemini_rag,helpfulness,5
0,gemini_rag,truthfulness,5
0,gemini_rag,virality,3
0,deepseek_rag,correctness,5
0,deepseek_rag,relevance,5
0,deepseek_rag,faithfulness,5
0,deepseek_rag,helpfulness,5
0,deepseek_rag,truthfulness,5
0,deepseek_rag,virality,2
1,llama_rag,correctness,5
1,llama_rag,relevance,5
1,llama_rag,faithfulness,5
1,llama_rag,helpfulness,5
1,llama_rag,truthfulness,5
1,llama_rag,virality,4
1,mistral_rag,correctness,5
1,mistral_rag,relevance,5
1,mistral_rag,faithfulness,5
1,mistral_rag,helpfulness,5
1,mistral_rag,truthfulness,5
1,mistral_rag,virality,4
1,gemini_rag,correctness,5
1,gemini_rag,relevance,5
1,gemini_rag,faithfulness,5
1,gemini_rag,helpfulness,5
1,gemini_rag,truthfulness,5
1,gemini_rag,virality,3
1,deepseek_rag,correctness,5
1,deepseek_rag,relevance,5
1,deepseek_rag,faithfulness,5
1,deepseek_rag,helpfulness,5
1,deepseek_rag,truthfulness,5
1,deepseek_rag,virality,4
2,llama_rag,correctness,5
2,llama_rag,relevance,5
2,llama_rag,faithfulness,5
2,llama_rag,helpfulness,5
2,llama_rag,truthfulness,5
2,llama_rag,virality,4
2,mistral_rag,correctness,5
2,mistral_rag,relevance,5
2,mistral_rag,faithfulness,2
2,mistral_rag,helpfulness,5
2,mistral_rag,truthfulness,5
2,mistral_rag,virality,4
2,gemini_rag,correctness,5
2,gemini_rag,relevance,5
2,gemini_rag,faithfulness,5
2,gemini_rag,helpfulness,5
2,gemini_rag,truthfulness,5
2,gemini_rag,virality,4
2,deepseek_rag,correctness,5
2,deepseek_rag,relevance,5
2,deepseek_rag,faithfulness,2
2,deepseek_rag,helpfulness,5
2,deepseek_rag,truthfulness,5
2,deepseek_rag,virality,4
3,llama_rag,correctness,3
3,llama_rag,relevance,3
3,llama_rag,faithfulness,2
3,llama_rag,helpfulness,3
3,llama_rag,truthfulness,3
3,llama_rag,virality,3
3,mistral_rag,correctness,1
3,mistral_rag,relevance,3
3,mistral_rag,faithfulness,2
3,mistral_rag,helpfulness,5
3,mistral_rag,truthfulness,3
3,mistral_rag,virality,3
3,gemini_rag,correctness,3
3,gemini_rag,relevance,3
3,gemini_rag,faithfulness,3
3,gemini_rag,helpfulness,4
3,gemini_rag,truthfulness,3
3,gemini_rag,virality,3
3,deepseek_rag,correctness,1
3,deepseek_rag,relevance,2
3,deepseek_rag,faithfulness,1
3,deepseek_rag,helpfulness,5
3,deepseek_rag,truthfulness,4
3,deepseek_rag,virality,4
4,llama_rag,correctness,5
4,llama_rag,relevance,5
4,llama_rag,faithfulness,4
4,llama_rag,helpfulness,5
4,llama_rag,truthfulness,5
4,llama_rag,virality,4
4,mistral_rag,correctness,5
4,mistral_rag,relevance,5
4,mistral_rag,faithfulness,3
4,mistral_rag,helpfulness,5
4,mistral_rag,truthfulness,5
4,mistral_rag,virality,4
4,gemini_rag,correctness,5
4,gemini_rag,relevance,5
4,gemini_rag,faithfulness,3
4,gemini_rag,helpfulness,5
4,gemini_rag,truthfulness,5
4,gemini_rag,virality,4
4,deepseek_rag,correctness,5
4,deepseek_rag,relevance,5
4,deepseek_rag,faithfulness,4
4,deepseek_rag,helpfulness,5
4,deepseek_rag,truthfulness,5
4,deepseek_rag,virality,5
5,llama_rag,correctness,3
5,llama_rag,relevance,3
5,llama_rag,faithfulness,3
5,llama_rag,helpfulness,3
5,llama_rag,truthfulness,3
5,llama_rag,virality,3
5,mistral_rag,correctness,5
5,mistral_rag,relevance,5
5,mistral_rag,faithfulness,1
5,mistral_rag,helpfulness,5
5,mistral_rag,truthfulness,5
5,mistral_rag,virality,5
5,gemini_rag,correctness,3
5,gemini_rag,relevance,5
5,gemini_rag,faithfulness,2
5,gemini_rag,helpfulness,5
5,gemini_rag,truthfulness,3
5,gemini_rag,virality,3
5,deepseek_rag,correctness,5
5,deepseek_rag,relevance,5
5,deepseek_rag,faithfulness,1
5,deepseek_rag,helpfulness,5
5,deepseek_rag,truthfulness,5
5,deepseek_rag,virality,5
6,llama_rag,correctness,5
6,llama_rag,relevance,5
6,llama_rag,faithfulness,4
6,llama_rag,helpfulness,5
6,llama_rag,truthfulness,5
6,llama_rag,virality,4
6,mistral_rag,correctness,5
6,mistral_rag,relevance,5
6,mistral_rag,faithfulness,5
6,mistral_rag,helpfulness,5
6,mistral_rag,truthfulness,5
6,mistral_rag,virality,3
6,gemini_rag,correctness,5
6,gemini_rag,relevance,5
6,gemini_rag,faithfulness,5
6,gemini_rag,helpfulness,5
6,gemini_rag,truthfulness,5
6,gemini_rag,virality,4
6,deepseek_rag,correctness,5
6,deepseek_rag,relevance,5
6,deepseek_rag,faithfulness,4
6,deepseek_rag,helpfulness,5
6,deepseek_rag,truthfulness,5
6,deepseek_rag,virality,4
7,llama_rag,correctness,5
7,llama_rag,relevance,5
7,llama_rag,faithfulness,3
7,llama_rag,helpfulness,5
7,llama_rag,truthfulness,5
7,llama_rag,virality,5
7,mistral_rag,correctness,5
7,mistral_rag,relevance,5
7,mistral_rag,faithfulness,4
7,mistral_rag,helpfulness,5
7,mistral_rag,truthfulness,5
7,mistral_rag,virality,5
7,gemini_rag,correctness,5
7,gemini_rag,relevance,5
7,gemini_rag,faithfulness,4
7,gemini_rag,helpfulness,5
7,gemini_rag,truthfulness,5
7,gemini_rag,virality,5
7,deepseek_rag,correctness,5
7,deepseek_rag,relevance,5
7,deepseek_rag,faithfulness,4
7,deepseek_rag,helpfulness,5
7,deepseek_rag,truthfulness,5
7,deepseek_rag,virality,5
8,llama_rag,correctness,5
8,llama_rag,relevance,5
8,llama_rag,faithfulness,4
8,llama_rag,helpfulness,5
8,llama_rag,truthfulness,5
8,llama_rag,virality,5
8,mistral_rag,correctness,2
8,mistral_rag,relevance,5
8,mistral_rag,faithfulness,2
8,mistral_rag,helpfulness,5
8,mistral_rag,truthfulness,5
8,mistral_rag,virality,4
8,gemini_rag,correctness,3
8,gemini_rag,relevance,5
8,gemini_rag,faithfulness,2
8,gemini_rag,helpfulness,5
8,gemini_rag,truthfulness,5
8,gemini_rag,virality,3
8,deepseek_rag,correctness,3
8,deepseek_rag,relevance,5
8,deepseek_rag,faithfulness,2
8,deepseek_rag,helpfulness,5
8,deepseek_rag,truthfulness,5
8,deepseek_rag,virality,4
9,llama_rag,correctness,5
9,llama_rag,relevance,5
9,llama_rag,faithfulness,4
9,llama_rag,helpfulness,5
9,llama_rag,truthfulness,5
9,llama_rag,virality,4
9,mistral_rag,correctness,1
9,mistral_rag,relevance,5
9,mistral_rag,faithfulness,2
9,mistral_rag,helpfulness,4
9,mistral_rag,truthfulness,5
9,mistral_rag,virality,4
9,gemini_rag,correctness,4
9,gemini_rag,relevance,4
9,gemini_rag,faithfulness,3
9,gemini_rag,helpfulness,4
9,gemini_rag,truthfulness,5
9,gemini_rag,virality,4
9,deepseek_rag,correctness,5
9,deepseek_rag,relevance,5
9,deepseek_rag,faithfulness,4
9,deepseek_rag,helpfulness,5
9,deepseek_rag,truthfulness,5
9,deepseek_rag,virality,4
